LEI,Entity Name,Short Name,Category,Entity Status,Organization Designation
IIROCOOOOOOOOOOODRCB,DirectCash Bank,DRCB,Schedule I Bank,Inactive,Non-GSD
IIROCOOOOOOOOOOODDSI,Dominick Inc.,DDSI,Dealer Member,Active,Non-GSD
549300A7UQR6LPFJ3743,Dubeau Capital & Cie Ltée,DUBE,Dealer Member,Active,Non-GSD
549300EJ0ZH2Z06TF814,Dundee Securities Ltd.,DUND,Dealer Member,Active,Non-GSD
549300E76GGWCYWF5G54,Echelon Wealth Partners Inc.,EURO,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOEDWJ,Edward Jones,EDWJ,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOETCC,"Electronic Transaction Clearing Canada, Inc.",ETCC,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOEMER,Emerging Equities Inc.,EMER,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOEQUI,EquiLend Canada Corp.,EQUI,Dealer Member,Active,Non-GSD
5493004QI4QQE17ETY06,Equitable Bank,EQBB,Schedule I Bank,Active,Non-GSD
549300514J3G7XH64311,Fidelity Clearing Canada ULC,FDTY,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOFINA,Financière des professionnels - Gestion privée inc.,FINA,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOFINX,FIN-XO Securities Inc.,FINX,Dealer Member,Active,Non-GSD
549300CXEHGNN6MSF262,First Nations Bank of Canada,FNBC,Schedule I Bank,Inactive,Non-GSD
IIROCOOOOOOOOOOOFRST,FirstEnergy Capital Corp.,FRST,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOFOST,Foster & Associates Financial Services Inc.,FOST,Dealer Member,Active,Non-GSD
549300UUTCUXYW859441,Freedom International Brokerage Co.,FREE,IDBB,Active,Non-GSD
